ATA,yyyy,mm,dd
ATA-21,2016,07,02
ATA-21,2016,07,14
ATA-21,2016,07,17
ATA-21,2017,04,23
ATA-21,2017,04,28
ATA-21,2017,04,24
ATA-21,2017,07,09
ATA-21,2017,11,13
ATA-21,2017,11,16
ATA-21,2018,03,29
ATA-21,2018,03,08
ATA-21,2018,01,12
ATA-21,2017,09,02
ATA-21,2017,08,01
ATA-21,2017,11,02
ATA-21,2017,04,05
ATA-21,2017,04,17
ATA-22,2017,12,14
ATA-22,2018,02,03
ATA-23,2016,12,12
ATA-23,2018,03,16
ATA-23,2017,01,14
ATA-23,2017,03,04
ATA-23,2017,04,27
ATA-24,2016,07,13
ATA-24,2017,07,22
ATA-24,2017,02,03
ATA-24,2017,05,30
ATA-24,2017,05,30
ATA-24,2017,03,19
ATA-24,2017,03,08
ATA-24,2016,09,12
ATA-25,2017,01,17
ATA-25,2017,02,20
ATA-27,2016,08,22
ATA-27,2017,06,24
ATA-27,2017,12,14
ATA-27,2017,08,11
ATA-27,2017,09,26
ATA-27,2018,02,01
ATA-27,2016,09,27
ATA-28,2017,04,20
ATA-28,2017,04,11
ATA-28,2017,03,12
ATA-28,2017,05,04
ATA-28,2016,07,21
ATA-29,2017,03,31
ATA-31,2018,03,16
ATA-32,2016,07,07
ATA-32,2017,02,09
ATA-32,2017,05,31
ATA-32,2017,04,27
ATA-32,2017,10,20
ATA-32,2018,02,21
ATA-32,2018,03,08
ATA-32,2018,01,13
ATA-32,2017,07,19
ATA-33,2017,01,09
ATA-33,2016,12,29
ATA-34,2016,10,28
ATA-34,2017,02,19
ATA-34,2016,11,18
ATA-34,2017,11,24
ATA-34,2017,01,15
ATA-34,2017,04,25
ATA-34,2017,04,08
ATA-34,2017,04,29
ATA-34,2016,10,28
ATA-35,2016,08,12
ATA-36,2017,04,12
ATA-36,2016,12,25
ATA-36,2018,02,18
ATA-36,2018,03,25
ATA-36,2018,03,14
ATA-36,2018,02,17
ATA-36,2018,01,16
ATA-36,2017,12,02
ATA-36,2017,11,11
ATA-36,2017,03,11
ATA-36,2017,04,21
ATA-36,2017,04,16
ATA-36,2017,06,14
ATA-36,2017,06,14
ATA-36,2017,05,31
ATA-36,2018,03,11
ATA-38,2017,08,27
ATA-46,2018,02,21
ATA-47,2017,09,04
ATA-49,2017,03,19
ATA-49,2017,03,09
ATA-49,2017,02,02
ATA-49,2017,06,07
ATA-52,2017,03,22
ATA-52,2017,02,26
ATA-52,2016,12,14
ATA-73,2016,07,17
ATA-73,2017,02,14
ATA-73,2017,04,28
ATA-73,2017,02,21
ATA-73,2017,07,08
ATA-73,2017,11,04
ATA-73,2017,12,12
ATA-73,2017,10,29
ATA-73,2017,09,25
ATA-73,2017,06,25
ATA-73,2017,06,14
ATA-73,2017,06,18
ATA-73,2016,07,14
ATA-74,2017,11,06
ATA-74,2018,01,03
ATA-74,2018,03,06
ATA-74,2018,02,05
ATA-79,2017,02,11
ATA-79,2018,03,29
