ATA,yyyy,mm,dd
ATA-21,2015,03,01
ATA-21,2015,09,13
ATA-21,2016,10,27
ATA-21,2017,04,15
ATA-21,2016,11,07
ATA-21,2016,02,12
ATA-21,2016,12,24
ATA-21,2016,12,23
ATA-21,2017,07,13
ATA-21,2018,02,28
ATA-21,2017,10,11
ATA-21,2017,07,10
ATA-21,2017,05,30
ATA-21,2014,09,01
ATA-21,2013,04,14
ATA-21,2013,06,13
ATA-21,2014,03,02
ATA-21,2016,04,28
ATA-21,2014,08,13
ATA-21,2015,08,17
ATA-21,2014,07,10
ATA-21,2016,12,06
ATA-21,2014,04,27
ATA-21,2016,10,11
ATA-32,2013,09,07
ATA-32,2014,12,26
ATA-32,2014,11,28
ATA-32,2017,11,30
ATA-32,2017,09,12
ATA-32,2017,07,26
ATA-32,2018,03,01
ATA-32,2018,01,21
ATA-32,2017,07,28
ATA-32,2016,04,20
ATA-32,2013,06,07
ATA-32,2014,01,02
ATA-32,2015,05,29
ATA-32,2016,09,26
ATA-32,2013,04,14
ATA-32,2014,09,13
ATA-32,2013,05,21
ATA-32,2014,08,31
ATA-32,2015,07,09
ATA-36,2016,02,13
ATA-36,2016,07,21
ATA-36,2017,05,14
ATA-36,2017,08,26
ATA-36,2017,07,02
ATA-36,2017,08,26
ATA-36,2017,07,28
ATA-36,2017,06,08
ATA-36,2017,01,28
ATA-36,2017,05,27
ATA-36,2017,05,27
ATA-36,2017,05,17
ATA-36,2016,05,13
ATA-36,2016,07,21
ATA-36,2013,12,20
ATA-36,2015,01,23
ATA-36,2015,08,25
ATA-36,2015,06,08
ATA-36,2015,02,15
ATA-34,2016,01,08
ATA-34,2017,10,21
ATA-34,2017,04,18
ATA-34,2017,03,26
ATA-34,2017,05,01
ATA-34,2017,04,10
ATA-34,2015,08,15
ATA-34,2016,05,19
ATA-34,2016,10,27
ATA-34,2016,07,21
ATA-34,2013,07,18
ATA-34,2013,06,25
ATA-34,2015,04,13
ATA-34,2013,08,10
ATA-34,2014,04,03
ATA-34,2015,06,01
ATA-34,2015,04,20
ATA-34,2013,08,25
ATA-27,2013,08,17
ATA-27,2017,06,08
ATA-27,2017,11,22
ATA-27,2017,10,09
ATA-27,2017,05,28
ATA-27,2018,01,19
ATA-27,2016,09,16
ATA-27,2014,09,28
ATA-27,2015,08,24
ATA-27,2013,11,27
ATA-27,2014,01,04
ATA-27,2015,01,15
ATA-27,2015,06,21
ATA-22,2016,05,13
ATA-22,2017,11,04
ATA-22,2016,06,27
ATA-22,2017,06,04
ATA-22,2017,11,04
ATA-22,2016,06,27
ATA-22,2017,06,04
ATA-22,2017,06,28
ATA-22,2013,06,22
ATA-22,2014,07,08
ATA-22,2013,05,15
ATA-28,2016,08,23
ATA-28,2017,05,11
ATA-28,2016,09,04
ATA-28,2013,04,14
ATA-28,2014,04,18
ATA-28,2016,03,26
ATA-28,2013,06,11
ATA-23,2016,04,10
ATA-23,2016,06,25
ATA-23,2018,03,04
ATA-23,2014,05,26
ATA-23,2013,06,07
ATA-23,2013,07,04
ATA-23,2014,12,16
ATA-75,2016,11,14
ATA-75,2016,12,24
ATA-75,2013,10,14
ATA-75,2015,05,04
ATA-75,2014,10,05
ATA-75,2015,02,07
ATA-75,2017,09,12
ATA-24,2014,06,15
ATA-24,2016,04,29
ATA-24,2016,07,26
ATA-24,2015,08,14
ATA-24,2015,09,23
ATA-26,2015,03,01
ATA-26,2017,09,29
ATA-26,2018,01,21
ATA-26,2015,06,08
ATA-26,2015,04,18
ATA-30,2017,06,03
ATA-30,2014,11,16
ATA-30,2014,03,05
ATA-30,2014,12,15
ATA-30,2014,06,15
ATA-74,2015,10,30
ATA-74,2017,01,02
ATA-74,2016,08,06
ATA-74,2016,01,07
ATA-74,2015,03,11
ATA-77,2013,08,26
ATA-77,2015,09,14
ATA-77,2014,02,04
ATA-77,2015,06,01
ATA-77,2014,03,16
ATA-49,2016,04,20
ATA-49,2016,05,04
ATA-49,2017,10,09
ATA-49,2015,07,31
ATA-31,2018,02,28
ATA-31,2014,05,17
ATA-31,2014,05,17
ATA-47,2018,01,20
ATA-47,2017,12,24
ATA-47,2015,04,14
ATA-71,2013,07,17
ATA-71,2016,01,04
ATA-71,2014,04,10
ATA-79,2013,07,11
ATA-79,2013,11,01
ATA-79,2013,04,14
ATA-29,2015,07,14
ATA-29,2017,09,10
ATA-35,2017,05,22
ATA-35,2013,12,17
ATA-46,2015,02,21
ATA-46,2013,04,22
ATA-73,2016,08,22
ATA-73,2014,12,27
ATA-25,2014,10,19
ATA-33,2015,12,17
ATA-52,2013,09,23
ATA-78,2014,07,14
