ATA,yyyy,mm,dd
ATA-21,2015,11,12
ATA-21,2016,02,19
ATA-21,2017,07,11
ATA-21,2016,02,15
ATA-21,2017,11,02
ATA-21,2017,08,05
ATA-21,2018,01,16
ATA-21,2016,09,24
ATA-22,2015,07,03
ATA-22,2016,06,27
ATA-22,2016,03,22
ATA-22,2015,06,05
ATA-23,2016,03,09
ATA-23,2017,03,08
ATA-23,2017,02,26
ATA-24,2017,09,11
ATA-27,2015,07,15
ATA-27,2016,05,04
ATA-27,2016,12,16
ATA-27,2017,08,23
ATA-27,2017,10,29
ATA-27,2016,11,22
ATA-27,2016,08,23
ATA-27,2016,05,18
ATA-27,2015,06,25
ATA-27,2015,04,07
ATA-27,2015,03,12
ATA-27,2016,09,17
ATA-28,2015,08,06
ATA-28,2016,05,31
ATA-28,2017,03,12
ATA-28,2016,01,16
ATA-29,2015,07,21
ATA-29,2015,04,14
ATA-30,2016,03,09
ATA-30,2017,02,09
ATA-30,2018,02,18
ATA-30,2017,06,12
ATA-30,2015,03,21
ATA-31,2015,07,10
ATA-31,2018,02,28
ATA-31,2015,03,21
ATA-31,2015,06,11
ATA-31,2015,04,28
ATA-32,2017,06,04
ATA-32,2018,02,10
ATA-32,2015,05,13
ATA-34,2015,05,21
ATA-34,2016,12,22
ATA-34,2018,03,10
ATA-34,2017,07,31
ATA-34,2015,08,04
ATA-34,2016,02,02
ATA-34,2016,06,13
ATA-34,2015,03,30
ATA-34,2015,03,26
ATA-34,2015,05,14
ATA-34,2015,05,08
ATA-35,2017,02,26
ATA-36,2015,06,13
ATA-36,2016,02,21
ATA-36,2016,02,14
ATA-36,2016,03,09
ATA-36,2016,03,14
ATA-36,2018,03,14
ATA-36,2017,02,23
ATA-36,2017,03,11
ATA-36,2017,06,24
ATA-36,2017,03,27
ATA-36,2017,04,09
ATA-36,2017,05,08
ATA-36,2016,11,17
ATA-36,2016,04,10
ATA-36,2015,10,30
ATA-36,2015,07,13
ATA-36,2015,12,06
ATA-36,2015,04,06
ATA-36,2015,05,16
ATA-36,2016,02,28
ATA-46,2015,04,04
ATA-47,2015,03,27
ATA-49,2015,06,18
ATA-49,2017,10,17
ATA-49,2017,12,26
ATA-52,2017,11,03
ATA-74,2015,09,30
ATA-74,2016,01,22
ATA-74,2015,10,24
ATA-74,2016,01,02
ATA-77,2017,09,15
ATA-79,2017,09,15
ATA-79,2015,04,11
ATA-80,2015,04,08
ATA-80,2015,06,03
