ATA,yyyy,mm,dd
ATA-21,2013,12,08
ATA-21,2012,08,17
ATA-21,2013,08,03
ATA-21,2014,06,22
ATA-21,2014,11,04
ATA-21,2015,08,04
ATA-21,2016,01,26
ATA-21,2015,10,31
ATA-21,2017,05,11
ATA-21,2016,02,11
ATA-21,2015,10,24
ATA-21,2015,11,26
ATA-21,2015,06,14
ATA-21,2014,11,21
ATA-21,2013,12,11
ATA-21,2012,09,15
ATA-21,2015,10,24
ATA-21,2018,02,12
ATA-21,2018,01,21
ATA-21,2015,11,26
ATA-21,2015,06,14
ATA-21,2014,11,21
ATA-21,2013,12,11
ATA-21,2012,09,15
ATA-21,2013,01,03
ATA-21,2012,06,24
ATA-21,2014,03,16
ATA-21,2012,07,04
ATA-21,2014,07,11
ATA-21,2015,12,23
ATA-21,2015,07,13
ATA-21,2014,08,18
ATA-21,2016,10,10
ATA-21,2014,07,25
ATA-21,2012,07,17
ATA-21,2013,06,30
ATA-21,2012,09,22
ATA-21,2011,08,05
ATA-21,2013,06,02
ATA-21,2015,04,21
ATA-21,2013,05,23
ATA-21,2012,11,21
ATA-21,2013,11,01
ATA-21,2013,02,08
ATA-27,2015,06,13
ATA-27,2017,12,05
ATA-27,2017,12,07
ATA-27,2017,06,28
ATA-27,2017,02,27
ATA-27,2017,05,19
ATA-27,2016,11,26
ATA-27,2016,07,26
ATA-27,2015,09,28
ATA-27,2016,02,22
ATA-27,2013,05,15
ATA-27,2014,09,14
ATA-27,2015,06,13
ATA-27,2016,03,22
ATA-27,2013,05,17
ATA-27,2015,09,07
ATA-27,2015,04,25
ATA-27,2015,08,29
ATA-27,2012,07,03
ATA-27,2013,06,04
ATA-27,2013,05,10
ATA-27,2011,10,25
ATA-27,2013,02,21
ATA-27,2013,11,13
ATA-27,2014,09,14
ATA-27,2014,10,10
ATA-27,2014,06,26
ATA-22,2014,11,30
ATA-22,2015,08,06
ATA-22,2015,11,12
ATA-22,2017,10,22
ATA-22,2017,11,07
ATA-22,2017,10,02
ATA-22,2017,10,02
ATA-22,2017,06,20
ATA-22,2017,06,01
ATA-22,2016,03,06
ATA-22,2012,04,12
ATA-22,2013,10,11
ATA-22,2013,10,28
ATA-22,2012,04,27
ATA-22,2014,12,14
ATA-22,2013,10,16
ATA-22,2012,01,27
ATA-22,2012,02,11
ATA-22,2012,01,14
ATA-22,2012,05,19
ATA-22,2011,11,21
ATA-22,2013,07,31
ATA-32,2013,09,16
ATA-32,2017,06,17
ATA-32,2017,12,05
ATA-32,2017,07,05
ATA-32,2015,06,28
ATA-32,2011,08,15
ATA-32,2014,07,09
ATA-32,2012,03,27
ATA-32,2011,08,25
ATA-32,2013,04,30
ATA-32,2013,03,07
ATA-32,2012,05,30
ATA-32,2012,04,12
ATA-32,2014,04,03
ATA-32,2014,09,27
ATA-32,2011,08,25
ATA-32,2015,05,17
ATA-32,2012,04,25
ATA-32,2013,04,26
ATA-34,2016,05,26
ATA-34,2017,03,26
ATA-34,2013,04,30
ATA-34,2013,03,09
ATA-34,2014,01,25
