ATA,yyyy,mm,dd
ATA-36,2013,07,02
ATA-36,2017,07,16
ATA-36,2018,01,23
ATA-36,2017,07,16
ATA-36,2017,07,04
ATA-36,2017,06,25
ATA-36,2017,04,22
ATA-36,2017,05,12
ATA-36,2016,02,26
ATA-36,2016,08,10
ATA-36,2015,09,30
ATA-36,2015,10,07
ATA-36,2015,08,14
ATA-36,2016,03,28
ATA-36,2013,07,02
ATA-36,2014,09,18
ATA-36,2015,04,05
ATA-36,2015,04,23
ATA-36,2014,04,27
ATA-34,2014,04,23
ATA-34,2015,06,13
ATA-34,2016,04,10
ATA-34,2017,06,10
ATA-34,2017,06,07
ATA-34,2016,07,15
ATA-34,2014,05,20
ATA-34,2015,04,24
ATA-34,2014,08,17
ATA-34,2013,10,30
ATA-34,2014,10,05
ATA-34,2014,07,24
ATA-34,2015,01,03
ATA-34,2015,04,28
ATA-34,2014,04,04
ATA-34,2013,05,23
ATA-21,2016,05,19
ATA-21,2016,07,05
ATA-21,2017,02,19
ATA-21,2017,02,06
ATA-21,2017,06,27
ATA-21,2017,02,16
ATA-21,2017,03,07
ATA-21,2013,06,25
ATA-21,2013,06,26
ATA-21,2015,02,04
ATA-21,2015,06,14
ATA-21,2014,02,23
ATA-21,2014,02,10
ATA-21,2013,05,28
ATA-21,2014,12,24
ATA-27,2013,08,21
ATA-27,2018,03,27
ATA-27,2018,02,19
ATA-27,2018,01,04
ATA-27,2017,09,17
ATA-27,2017,09,09
ATA-27,2017,02,18
ATA-27,2017,03,28
ATA-27,2016,02,09
ATA-27,2015,10,19
ATA-27,2013,11,03
ATA-27,2014,05,26
ATA-27,2016,09,08
ATA-27,2015,08,18
ATA-27,2015,07,16
ATA-32,2013,07,31
ATA-32,2015,10,03
ATA-32,2016,11,18
ATA-32,2017,05,07
ATA-32,2017,10,02
ATA-32,2017,08,25
ATA-32,2017,08,25
ATA-32,2017,06,26
ATA-32,2016,11,29
ATA-32,2016,12,14
ATA-32,2014,11,29
ATA-32,2013,09,23
ATA-32,2013,12,15
ATA-32,2013,12,26
ATA-23,2017,11,18
ATA-23,2018,01,23
ATA-23,2018,03,10
ATA-23,2014,05,26
ATA-23,2016,06,25
ATA-23,2014,02,18
ATA-23,2014,05,21
ATA-23,2013,10,21
ATA-23,2014,06,11
ATA-23,2014,02,15
ATA-23,2014,03,30
ATA-30,2013,07,28
ATA-30,2017,06,29
ATA-30,2016,02,23
ATA-30,2016,06,30
ATA-30,2014,12,15
ATA-30,2015,03,28
ATA-30,2015,06,23
ATA-30,2014,08,06
ATA-30,2014,06,22
ATA-30,2014,01,09
ATA-49,2014,03,27
ATA-49,2017,10,29
ATA-49,2017,07,18
ATA-49,2017,03,13
ATA-49,2016,10,31
ATA-49,2016,11,22
ATA-49,2016,08,30
ATA-49,2016,06,30
ATA-49,2015,01,08
ATA-49,2015,08,22
ATA-28,2015,08,06
ATA-28,2016,07,14
ATA-28,2017,12,29
ATA-28,2013,05,27
ATA-28,2014,04,14
ATA-28,2014,01,18
ATA-28,2014,04,26
ATA-28,2014,04,07
ATA-28,2015,09,30
ATA-24,2015,02,25
ATA-24,2017,06,24
ATA-24,2017,09,16
ATA-24,2017,09,30
ATA-24,2017,08,28
ATA-24,2017,06,28
ATA-24,2015,11,25
ATA-24,2014,08,05
ATA-79,2013,07,10
ATA-79,2014,12,15
ATA-79,2014,01,31
ATA-79,2014,09,29
ATA-79,2014,05,25
ATA-79,2014,10,30
ATA-22,2016,02,24
ATA-22,2017,11,26
ATA-22,2018,02,19
ATA-22,2017,07,05
ATA-22,2017,06,20
ATA-22,2015,07,04
ATA-38,2015,07,31
ATA-38,2017,08,23
ATA-38,2016,06,28
ATA-75,2015,01,05
ATA-75,2014,03,14
ATA-75,2016,07,06
ATA-26,2016,01,03
ATA-26,2017,10,24
ATA-47,2013,07,26
ATA-47,2016,06,28
ATA-52,2017,09,30
ATA-52,2013,12,22
ATA-29,2013,08,15
ATA-31,2015,07,11
ATA-33,2015,11,20
ATA-35,2014,03,15
ATA-71,2017,02,28
ATA-73,2013,06,09
ATA-74,2015,11,24
ATA-78,2014,05,14
ATA-80,2016,01,22
