ATA,yyyy,mm,dd
ATA-21,2015,07,19
ATA-21,2016,08,10
ATA-21,2017,05,09
ATA-21,2016,05,14
ATA-21,2017,03,12
ATA-21,2017,10,10
ATA-21,2017,10,13
ATA-21,2017,08,01
ATA-21,2017,07,13
ATA-21,2018,03,20
ATA-21,2018,02,28
ATA-21,2017,08,16
ATA-21,2017,09,22
ATA-21,2017,10,27
ATA-21,2017,07,14
ATA-21,2017,03,19
ATA-21,2017,04,07
ATA-21,2015,11,04
ATA-21,2015,08,26
ATA-21,2015,10,26
ATA-21,2015,03,15
ATA-22,2015,12,01
ATA-22,2015,04,04
ATA-22,2015,03,19
ATA-23,2015,07,02
ATA-23,2016,03,26
ATA-23,2015,07,24
ATA-24,2016,01,17
ATA-24,2017,02,21
ATA-24,2017,01,24
ATA-24,2017,02,02
ATA-24,2016,08,12
ATA-25,2015,02,22
ATA-26,2016,10,13
ATA-27,2016,05,26
ATA-27,2017,05,10
ATA-27,2016,06,25
ATA-27,2015,02,11
ATA-28,2016,01,01
ATA-28,2016,12,02
ATA-28,2015,01,21
ATA-29,2015,03,03
ATA-31,2015,02,28
ATA-32,2017,03,30
ATA-32,2018,01,05
ATA-32,2017,07,01
ATA-33,2015,04,03
ATA-34,2015,08,23
ATA-34,2016,07,21
ATA-34,2018,03,15
ATA-34,2017,07,18
ATA-34,2015,03,21
ATA-34,2015,05,03
ATA-34,2015,06,30
ATA-34,2015,04,20
ATA-36,2014,12,26
ATA-36,2017,05,30
ATA-36,2017,12,13
ATA-36,2017,10,06
ATA-36,2017,12,05
ATA-36,2017,05,16
ATA-36,2017,05,09
ATA-36,2015,09,21
ATA-49,2015,12,23
ATA-49,2016,04,17
ATA-49,2016,01,09
ATA-49,2016,05,27
ATA-49,2015,04,22
ATA-52,2015,10,30
ATA-52,2015,10,27
ATA-53,2017,08,05
ATA-74,2015,11,16
ATA-74,2017,12,16
ATA-74,2017,10,17
ATA-74,2017,04,16
ATA-74,2017,01,24
ATA-74,2016,11,30
ATA-76,2015,01,26
ATA-77,2017,07,30
ATA-77,2018,03,28
ATA-77,2018,02,04
ATA-77,2015,02,16
ATA-78,2015,04,03
ATA-79,2014,12,31
ATA-79,2015,01,25
ATA-79,2015,03,05
ATA-79,2015,05,24
ATA-79,2015,05,28
