ATA,yyyy,mm,dd
ATA-21,2017,03,13
ATA-21,2017,06,11
ATA-21,2017,02,18
ATA-21,2017,12,13
ATA-21,2017,11,26
ATA-22,2017,03,30
ATA-22,2017,02,08
ATA-23,2017,01,02
ATA-25,2017,12,05
ATA-26,2017,12,26
ATA-27,2016,12,07
ATA-27,2017,05,19
ATA-28,2018,01,29
ATA-29,2017,02,23
ATA-31,2016,12,10
ATA-32,2017,09,01
ATA-34,2017,06,03
ATA-34,2017,09,08
ATA-34,2017,06,21
ATA-36,2016,12,23
ATA-36,2017,08,09
ATA-49,2017,03,16
ATA-49,2017,12,07
ATA-52,2017,01,29
ATA-73,2017,12,09
ATA-75,2017,05,24
ATA-78,2017,08,14
ATA-79,2016,12,02
ATA-79,2017,09,10
ATA-79,2016,12,21
