ATA,yyyy,mm,dd
ATA-21,2017,03,28
ATA-21,2017,03,30
ATA-21,2017,12,30
ATA-21,2017,12,08
ATA-22,2017,04,23
ATA-22,2017,12,30
ATA-23,2018,03,24
ATA-24,2017,05,16
ATA-26,2018,01,25
ATA-26,2018,01,22
ATA-27,2017,02,05
ATA-27,2017,08,16
ATA-28,2017,07,19
ATA-30,2017,02,19
ATA-30,2017,12,17
ATA-30,2017,12,31
ATA-31,2016,12,20
ATA-31,2017,05,11
ATA-31,2017,04,15
ATA-31,2018,03,14
ATA-31,2018,02,06
ATA-31,2017,08,17
ATA-31,2017,10,01
ATA-32,2017,04,29
ATA-34,2017,02,19
ATA-34,2017,05,22
ATA-34,2017,12,14
ATA-34,2018,01,02
ATA-34,2018,01,02
ATA-34,2017,11,13
ATA-34,2017,02,04
ATA-34,2017,06,25
ATA-34,2016,12,25
ATA-36,2016,11,16
ATA-36,2017,08,19
ATA-38,2017,06,01
ATA-38,2017,12,13
ATA-49,2016,11,21
ATA-49,2017,01,27
ATA-49,2016,12,28
ATA-52,2016,12,17
ATA-74,2018,01,28
ATA-77,2016,08,06
