ATA,yyyy,mm,dd
ATA-21,2016,07,15
ATA-21,2017,03,30
ATA-21,2017,09,14
ATA-21,2018,02,18
ATA-21,2017,03,14
ATA-21,2016,06,29
ATA-22,2016,09,01
ATA-22,2017,03,23
ATA-22,2016,04,09
ATA-23,2017,12,03
ATA-24,2018,03,20
ATA-24,2016,06,17
ATA-26,2018,03,20
ATA-26,2016,09,03
ATA-27,2016,03,29
ATA-27,2016,06,01
ATA-28,2018,03,05
ATA-28,2018,02,23
ATA-29,2016,04,14
ATA-29,2016,12,12
ATA-30,2017,05,30
ATA-31,2017,04,01
ATA-32,2016,08,04
ATA-32,2017,12,27
ATA-32,2017,08,04
ATA-32,2016,08,25
ATA-32,2016,08,11
ATA-32,2016,04,03
ATA-34,2016,06,16
ATA-34,2017,05,01
ATA-34,2017,05,27
ATA-34,2017,01,28
ATA-34,2017,11,12
ATA-34,2017,09,30
ATA-34,2017,10,13
ATA-34,2017,01,02
ATA-34,2017,02,11
ATA-34,2017,04,09
ATA-34,2016,04,15
ATA-34,2016,07,24
ATA-34,2016,06,20
ATA-34,2016,09,27
ATA-34,2016,09,21
ATA-36,2016,05,14
ATA-36,2017,05,06
ATA-36,2017,10,02
ATA-36,2017,05,19
ATA-38,2016,09,15
ATA-38,2016,09,15
ATA-49,2016,07,22
ATA-49,2018,03,07
ATA-49,2018,02,18
ATA-49,2017,04,11
ATA-49,2017,07,19
ATA-49,2018,01,11
ATA-49,2017,08,25
ATA-49,2017,06,03
ATA-49,2017,04,21
ATA-57,2017,05,13
ATA-74,2016,10,29
ATA-74,2016,12,06
ATA-74,2017,02,24
ATA-74,2017,03,04
ATA-74,2016,12,31
ATA-74,2017,01,10
ATA-74,2018,01,27
ATA-74,2017,11,25
ATA-74,2017,01,26
ATA-74,2017,03,30
ATA-77,2017,11,11
ATA-79,2016,04,03
ATA-79,2017,05,26
ATA-79,2017,08,08
