ATA,yyyy,mm,dd
ATA-21,2017,06,14
ATA-21,2017,05,01
ATA-21,2017,04,24
ATA-21,2017,02,21
ATA-21,2017,02,20
ATA-21,2017,10,04
ATA-21,2017,10,11
ATA-21,2017,08,07
ATA-21,2017,08,11
ATA-21,2018,02,05
ATA-21,2017,07,20
ATA-21,2017,10,04
ATA-21,2017,09,17
ATA-21,2017,04,01
ATA-22,2017,06,14
ATA-22,2017,09,18
ATA-23,2017,02,23
ATA-23,2017,06,14
ATA-23,2018,03,01
ATA-23,2018,02,12
ATA-23,2017,04,30
ATA-24,2017,05,29
ATA-24,2017,05,29
ATA-24,2017,06,01
ATA-25,2017,06,14
ATA-26,2017,03,31
ATA-26,2017,07,30
ATA-27,2017,04,23
ATA-27,2017,08,06
ATA-28,2017,08,27
ATA-29,2017,04,27
ATA-29,2017,11,10
ATA-29,2017,04,04
ATA-29,2017,02,18
ATA-30,2017,12,31
ATA-31,2017,12,26
ATA-32,2018,03,18
ATA-32,2018,03,28
ATA-34,2017,03,07
ATA-34,2018,03,16
ATA-34,2017,07,24
ATA-34,2017,02,23
ATA-34,2017,03,29
ATA-36,2018,02,02
ATA-36,2018,02,04
ATA-36,2017,08,04
ATA-36,2017,09,08
ATA-36,2018,02,23
ATA-38,2017,05,07
ATA-38,2018,01,14
ATA-38,2017,04,17
ATA-45,2017,04,24
ATA-47,2017,07,14
ATA-47,2017,08,17
ATA-47,2017,07,21
ATA-49,2017,04,14
ATA-49,2017,02,21
ATA-49,2017,06,14
ATA-49,2018,01,17
ATA-52,2017,04,29
ATA-52,2017,05,14
ATA-52,2017,04,03
ATA-52,2017,03,12
ATA-52,2017,07,09
ATA-71,2017,11,22
ATA-73,2017,03,15
ATA-73,2017,03,03
ATA-73,2017,04,08
ATA-73,2017,08,27
ATA-73,2018,02,03
ATA-78,2017,02,20
ATA-78,2017,07,26
ATA-79,2018,03,25
