ATA,yyyy,mm,dd
ATA-21,2015,05,26
ATA-21,2016,02,10
ATA-21,2015,07,18
ATA-21,2015,09,05
ATA-21,2016,01,07
ATA-21,2016,07,17
ATA-21,2016,07,06
ATA-21,2016,11,26
ATA-21,2017,03,03
ATA-21,2018,03,02
ATA-21,2018,01,26
ATA-21,2017,09,24
ATA-21,2017,04,29
ATA-21,2017,06,06
ATA-21,2017,05,16
ATA-21,2018,03,09
ATA-21,2015,05,27
ATA-22,2018,01,19
ATA-23,2015,10,30
ATA-23,2015,06,08
ATA-24,2017,06,26
ATA-25,2016,10,31
ATA-26,2017,05,13
ATA-26,2018,02,12
ATA-26,2016,05,01
ATA-27,2016,02,11
ATA-27,2017,09,19
ATA-27,2017,03,09
ATA-27,2015,07,02
ATA-29,2017,03,10
ATA-29,2018,01,12
ATA-30,2016,11,29
ATA-30,2017,12,10
ATA-30,2016,07,15
ATA-31,2017,10,13
ATA-32,2015,06,09
ATA-32,2015,07,03
ATA-32,2018,03,08
ATA-32,2016,12,31
ATA-32,2017,05,10
ATA-32,2017,02,06
ATA-32,2015,11,26
ATA-32,2015,09,13
ATA-32,2016,01,13
ATA-32,2015,07,15
ATA-32,2015,12,09
ATA-32,2015,06,08
ATA-34,2015,08,14
ATA-34,2016,04,19
ATA-34,2016,07,16
ATA-34,2017,08,31
ATA-34,2018,02,14
ATA-34,2016,12,22
ATA-34,2015,08,01
ATA-34,2015,06,21
ATA-34,2015,11,01
ATA-36,2016,06,10
ATA-36,2018,02,15
ATA-36,2017,09,04
ATA-36,2018,01,30
ATA-36,2017,09,21
ATA-36,2017,09,28
ATA-36,2015,05,25
ATA-36,2016,09,04
ATA-38,2016,05,23
ATA-47,2016,05,26
ATA-49,2016,11,10
ATA-52,2015,12,13
ATA-70,2018,01,23
ATA-74,2017,01,14
ATA-74,2017,12,02
ATA-74,2017,10,19
ATA-74,2017,02,15
ATA-74,2018,03,21
ATA-77,2015,08,14
ATA-79,2015,05,09
ATA-79,2015,10,15
ATA-79,2016,07,21
ATA-79,2015,07,18
ATA-80,2016,03,24
