ATA,yyyy,mm,dd
ATA-21,2016,02,12
ATA-21,2016,10,28
ATA-21,2017,01,17
ATA-21,2017,01,31
ATA-21,2018,02,24
ATA-21,2018,03,04
ATA-21,2017,12,14
ATA-21,2017,09,17
ATA-21,2016,06,26
ATA-21,2015,09,04
ATA-21,2014,05,28
ATA-21,2015,06,30
ATA-22,2014,11,03
ATA-22,2017,02,13
ATA-22,2016,12,29
ATA-22,2016,04,02
ATA-23,2016,03,05
ATA-23,2016,05,13
ATA-23,2014,05,26
ATA-23,2015,06,23
ATA-23,2014,08,25
ATA-23,2015,05,22
ATA-24,2016,01,23
ATA-24,2016,06,03
ATA-26,2016,05,17
ATA-26,2014,09,18
ATA-26,2015,04,15
ATA-27,2016,03,19
ATA-27,2017,06,19
ATA-27,2017,10,03
ATA-27,2017,11,15
ATA-27,2017,11,02
ATA-27,2016,05,25
ATA-27,2017,08,27
ATA-27,2018,02,04
ATA-27,2017,09,03
ATA-27,2017,08,04
ATA-27,2017,08,12
ATA-27,2017,12,19
ATA-27,2017,12,18
ATA-27,2017,09,05
ATA-27,2015,02,25
ATA-27,2015,06,08
ATA-27,2015,11,10
ATA-27,2014,04,24
ATA-27,2015,07,10
ATA-27,2015,08,31
ATA-27,2014,08,19
ATA-27,2015,02,14
ATA-27,2015,09,09
ATA-27,2014,08,30
ATA-28,2015,02,26
ATA-28,2015,06,13
ATA-28,2017,05,10
ATA-28,2018,02,09
ATA-28,2017,03,20
ATA-28,2017,07,01
ATA-28,2017,01,05
ATA-28,2015,06,28
ATA-29,2017,11,11
ATA-29,2015,05,05
ATA-30,2015,01,31
ATA-30,2014,04,11
ATA-30,2014,10,04
ATA-30,2016,08,09
ATA-30,2015,04,21
ATA-31,2016,01,28
ATA-31,2014,05,11
ATA-31,2015,12,09
ATA-31,2014,04,29
ATA-32,2014,04,29
ATA-32,2018,01,06
ATA-32,2017,04,21
ATA-32,2016,07,17
ATA-32,2016,02,01
ATA-32,2014,04,28
ATA-32,2015,06,26
ATA-34,2014,12,04
ATA-34,2018,02,12
ATA-34,2017,09,25
ATA-34,2017,10,06
ATA-34,2017,02,14
ATA-34,2016,12,04
ATA-34,2016,05,17
ATA-34,2016,12,04
ATA-34,2016,05,17
ATA-34,2015,05,27
ATA-34,2014,05,27
ATA-34,2015,05,29
ATA-34,2015,03,03
ATA-34,2014,05,31
ATA-35,2015,01,23
ATA-35,2014,12,10
ATA-35,2015,01,23
ATA-36,2015,11,10
ATA-36,2015,09,14
ATA-36,2016,09,29
ATA-36,2017,05,03
ATA-36,2018,02,26
ATA-36,2017,07,25
ATA-36,2017,07,25
ATA-36,2017,10,17
ATA-36,2017,08,29
ATA-36,2017,08,18
ATA-36,2017,08,03
ATA-36,2017,06,20
ATA-36,2017,06,06
ATA-36,2016,06,08
ATA-36,2016,10,15
ATA-47,2017,06,13
ATA-47,2017,12,22
ATA-47,2018,02,18
ATA-47,2018,01,23
ATA-49,2016,01,23
ATA-49,2016,07,19
ATA-49,2017,04,25
ATA-49,2016,04,01
ATA-49,2015,12,13
ATA-52,2017,12,18
ATA-52,2018,01,26
ATA-52,2014,11,07
ATA-70,2016,07,30
ATA-72,2016,12,15
ATA-72,2015,02,27
ATA-73,2016,07,23
ATA-74,2015,11,16
ATA-74,2017,11,08
ATA-75,2017,04,26
ATA-77,2016,03,08
ATA-77,2014,04,14
ATA-77,2015,03,17
ATA-79,2014,05,02
ATA-79,2016,03,25
ATA-79,2014,12,28
ATA-79,2014,06,04
ATA-79,2014,04,19
ATA-79,2015,02,12
ATA-80,2015,12,17
