ATA,yyyy,mm,dd
ATA-23,2012,08,03
ATA-23,2014,11,15
ATA-23,2017,02,09
ATA-23,2017,11,02
ATA-23,2017,12,10
ATA-23,2017,11,26
ATA-23,2017,01,24
ATA-23,2016,11,25
ATA-23,2011,12,12
ATA-23,2012,07,25
ATA-23,2012,12,02
ATA-23,2014,04,18
ATA-23,2012,10,10
ATA-23,2014,03,19
ATA-23,2012,05,25
ATA-23,2013,02,05
ATA-23,2012,08,24
ATA-23,2011,11,22
ATA-23,2012,05,04
ATA-23,2012,03,09
ATA-23,2012,03,25
ATA-23,2016,12,07
ATA-23,2015,03,24
ATA-23,2012,02,18
ATA-23,2012,03,26
ATA-23,2012,05,13
ATA-23,2015,02,02
ATA-23,2012,03,17
ATA-23,2012,03,23
ATA-23,2015,01,24
ATA-23,2015,01,19
ATA-23,2012,09,21
ATA-23,2011,12,04
ATA-23,2011,11,29
ATA-23,2011,10,22
ATA-34,2015,08,14
ATA-34,2017,12,02
ATA-34,2018,01,21
ATA-34,2017,08,15
ATA-34,2015,11,10
ATA-34,2013,01,24
ATA-34,2011,10,24
ATA-34,2011,12,30
ATA-34,2013,04,10
ATA-34,2012,07,30
ATA-34,2012,08,07
ATA-34,2012,05,18
ATA-34,2013,05,04
ATA-34,2013,05,05
ATA-34,2014,05,28
ATA-34,2013,04,15
ATA-34,2014,01,15
ATA-34,2014,05,21
ATA-34,2012,10,25
ATA-34,2012,08,07
ATA-34,2012,07,13
ATA-34,2013,07,10
ATA-34,2013,02,17
ATA-34,2014,05,26
ATA-34,2014,03,30
ATA-34,2014,08,04
ATA-34,2013,04,07
ATA-34,2012,05,18
ATA-34,2016,06,13
ATA-21,2015,12,10
ATA-21,2016,01,04
ATA-21,2015,07,31
ATA-21,2014,07,28
ATA-21,2016,03,06
ATA-21,2017,04,01
ATA-21,2017,09,30
ATA-21,2017,08,05
ATA-21,2017,06,21
ATA-21,2016,11,23
ATA-21,2016,04,23
ATA-21,2012,01,31
ATA-21,2012,03,17
ATA-21,2012,05,23
ATA-21,2013,05,23
ATA-21,2014,09,12
ATA-21,2014,12,20
ATA-21,2012,09,27
ATA-21,2015,03,18
ATA-21,2015,06,27
ATA-21,2015,01,21
ATA-21,2013,07,01
ATA-21,2014,01,14
ATA-21,2012,06,22
ATA-21,2014,03,10
ATA-21,2015,09,23
ATA-21,2014,02,10
ATA-32,2012,08,13
ATA-32,2015,11,30
ATA-32,2017,12,14
ATA-32,2018,02,17
ATA-32,2016,01,29
ATA-32,2014,09,20
ATA-32,2014,04,23
ATA-32,2014,12,23
ATA-32,2011,12,02
ATA-32,2012,09,12
ATA-32,2012,05,30
ATA-32,2012,01,09
ATA-32,2013,05,09
ATA-32,2014,02,20
ATA-32,2014,01,20
ATA-32,2012,07,19
ATA-32,2013,05,30
ATA-32,2014,08,10
ATA-32,2013,05,30
ATA-32,2013,03,28
ATA-27,2013,09,01
ATA-27,2012,12,12
ATA-27,2016,02,01
ATA-27,2016,07,24
ATA-27,2017,07,10
ATA-27,2016,11,11
ATA-27,2015,10,24
ATA-27,2015,03,05
ATA-27,2013,12,21
ATA-27,2013,03,29
ATA-27,2013,05,16
ATA-27,2013,12,17
ATA-27,2015,02,15
ATA-27,2012,03,03
