ATA,yyyy,mm,dd
ATA-36,2015,02,21
ATA-36,2016,06,01
ATA-36,2016,12,16
ATA-36,2017,01,24
ATA-36,2017,07,08
ATA-36,2017,10,02
ATA-36,2018,03,12
ATA-36,2017,08,23
ATA-36,2017,03,23
ATA-36,2017,02,12
ATA-36,2016,11,25
ATA-36,2016,03,20
ATA-36,2015,12,14
ATA-36,2016,01,15
ATA-36,2014,07,11
ATA-36,2014,03,20
ATA-36,2015,08,14
ATA-36,2013,11,24
ATA-36,2013,12,28
ATA-36,2014,07,23
ATA-36,2015,05,06
ATA-21,2013,12,11
ATA-21,2015,12,14
ATA-21,2015,10,03
ATA-21,2016,08,11
ATA-21,2017,04,11
ATA-21,2017,03,30
ATA-21,2017,06,27
ATA-21,2017,11,23
ATA-21,2017,11,13
ATA-21,2017,03,03
ATA-21,2017,01,04
ATA-21,2017,02,13
ATA-21,2015,06,30
ATA-21,2015,07,31
ATA-21,2016,02,27
ATA-21,2013,11,14
ATA-21,2013,08,11
ATA-21,2016,09,25
ATA-21,2016,03,31
ATA-21,2015,03,27
ATA-32,2013,08,03
ATA-32,2014,03,25
ATA-32,2017,07,28
ATA-32,2017,07,28
ATA-32,2017,08,15
ATA-32,2017,11,18
ATA-32,2017,11,01
ATA-32,2017,03,11
ATA-32,2017,04,05
ATA-32,2014,06,30
ATA-32,2016,10,06
ATA-32,2014,07,16
ATA-32,2014,03,23
ATA-32,2014,02,12
ATA-32,2014,07,05
ATA-32,2014,03,26
ATA-32,2014,01,07
ATA-32,2015,09,27
ATA-27,2013,08,21
ATA-27,2017,08,03
ATA-27,2017,08,09
ATA-27,2017,03,14
ATA-27,2017,04,27
ATA-27,2017,05,05
ATA-27,2017,01,01
ATA-27,2017,05,10
ATA-27,2016,08,27
ATA-27,2015,06,18
ATA-27,2015,11,23
ATA-27,2015,07,27
ATA-27,2014,09,23
ATA-27,2014,03,10
ATA-27,2013,11,24
ATA-27,2014,04,13
ATA-27,2013,11,12
ATA-34,2013,07,25
ATA-34,2018,03,04
ATA-34,2017,08,12
ATA-34,2018,01,11
ATA-34,2017,11,17
ATA-34,2016,06,02
ATA-34,2014,09,29
ATA-34,2014,12,18
ATA-34,2013,10,25
ATA-34,2013,11,05
ATA-34,2014,04,24
ATA-34,2014,04,12
ATA-34,2014,03,17
ATA-34,2014,06,15
ATA-34,2015,10,28
ATA-28,2015,12,23
ATA-28,2016,12,04
ATA-28,2018,03,06
ATA-28,2018,01,26
ATA-28,2017,10,14
ATA-28,2014,11,06
ATA-28,2014,02,11
ATA-28,2014,12,30
ATA-28,2016,09,20
ATA-28,2015,10,01
ATA-22,2016,06,26
ATA-22,2017,03,10
ATA-22,2017,06,17
ATA-22,2017,09,11
ATA-22,2014,02,01
ATA-22,2014,05,03
ATA-22,2015,02,16
ATA-22,2014,03,17
ATA-23,2016,12,22
ATA-23,2017,03,10
ATA-23,2015,05,29
ATA-23,2014,06,07
ATA-23,2014,01,23
ATA-23,2015,08,10
ATA-23,2015,02,23
ATA-23,2014,03,08
ATA-49,2014,10,30
ATA-49,2015,06,13
ATA-49,2017,07,09
ATA-49,2016,02,21
ATA-49,2014,08,13
ATA-49,2014,05,25
ATA-24,2013,10,12
ATA-24,2018,02,04
ATA-24,2015,09,21
ATA-24,2014,12,04
ATA-24,2014,04,18
ATA-26,2015,07,30
ATA-26,2017,08,29
ATA-26,2014,07,30
ATA-26,2014,02,08
ATA-30,2014,03,21
ATA-30,2016,09,12
ATA-30,2014,01,08
ATA-31,2017,11,14
ATA-31,2014,08,21
ATA-31,2015,09,27
ATA-52,2017,03,07
ATA-52,2014,07,10
ATA-52,2013,07,24
ATA-29,2014,05,02
ATA-29,2014,01,30
ATA-57,2016,09,04
ATA-57,2016,09,07
ATA-75,2017,11,07
ATA-75,2017,08,19
ATA-77,2018,01,17
ATA-77,2015,07,16
ATA-79,2013,11,07
ATA-79,2014,01,09
ATA-25,2013,10,01
ATA-35,2014,11,12
ATA-47,2016,11,29
ATA-70,2013,07,08
ATA-73,2017,03,05
ATA-80,2013,10,10
