ATA,yyyy,mm,dd
ATA-21,2013,09,23
ATA-21,2013,02,22
ATA-21,2016,01,06
ATA-21,2016,04,11
ATA-21,2016,12,12
ATA-21,2017,06,28
ATA-21,2017,01,28
ATA-21,2017,06,11
ATA-21,2017,01,11
ATA-21,2017,01,01
ATA-21,2017,04,21
ATA-21,2017,02,04
ATA-21,2017,02,24
ATA-21,2017,05,28
ATA-21,2016,01,30
ATA-21,2014,12,10
ATA-21,2017,05,28
ATA-21,2016,01,30
ATA-21,2014,12,10
ATA-21,2012,05,28
ATA-21,2016,10,30
ATA-21,2015,07,08
ATA-21,2014,04,07
ATA-21,2011,10,20
ATA-21,2013,03,25
ATA-21,2014,09,21
ATA-21,2015,07,26
ATA-21,2015,09,09
ATA-21,2013,04,25
ATA-21,2015,02,25
ATA-21,2013,03,27
ATA-21,2013,05,12
ATA-21,2013,05,03
ATA-21,2012,06,01
ATA-21,2016,10,25
ATA-21,2012,06,01
ATA-21,2012,04,28
ATA-21,2015,07,12
ATA-21,2014,10,10
ATA-21,2012,10,07
ATA-21,2014,01,01
ATA-21,2012,10,26
ATA-21,2013,05,06
ATA-21,2013,10,19
ATA-21,2013,11,07
ATA-21,2013,12,14
ATA-21,2011,11,02
ATA-34,2013,05,12
ATA-34,2013,08,15
ATA-34,2016,06,03
ATA-34,2016,03,12
ATA-34,2016,05,02
ATA-34,2016,05,19
ATA-34,2015,10,21
ATA-34,2015,07,13
ATA-34,2014,02,28
ATA-34,2014,03,26
ATA-34,2012,01,24
ATA-34,2014,05,28
ATA-34,2013,08,27
ATA-34,2016,03,22
ATA-34,2016,06,21
ATA-34,2013,06,18
ATA-34,2015,05,06
ATA-34,2013,03,11
ATA-34,2012,10,10
ATA-34,2015,07,09
ATA-34,2014,04,16
ATA-34,2014,03,11
ATA-34,2012,03,10
ATA-34,2012,05,31
ATA-34,2012,10,06
ATA-34,2014,04,15
ATA-34,2011,11,21
ATA-34,2012,07,30
ATA-34,2012,05,21
ATA-34,2015,05,18
ATA-34,2013,10,30
ATA-34,2013,12,17
ATA-34,2012,05,18
ATA-34,2014,11,09
ATA-27,2014,09,05
ATA-27,2017,02,16
ATA-27,2016,12,24
ATA-27,2017,03,02
ATA-27,2018,02,12
ATA-27,2017,06,07
ATA-27,2015,10,03
ATA-27,2018,01,28
ATA-27,2013,04,22
ATA-27,2014,08,04
