ATA,yyyy,mm,dd
ATA-21,2016,07,10
ATA-21,2017,04,09
ATA-21,2017,10,18
ATA-21,2017,08,19
ATA-21,2017,12,18
ATA-22,2017,07,23
ATA-23,2016,03,14
ATA-23,2018,01,24
ATA-23,2016,03,19
ATA-24,2017,12,06
ATA-24,2018,01,25
ATA-24,2018,01,28
ATA-26,2018,02,13
ATA-27,2016,07,11
ATA-27,2018,03,24
ATA-27,2016,10,28
ATA-27,2017,08,29
ATA-29,2016,03,09
ATA-30,2016,01,10
ATA-30,2016,04,02
ATA-30,2017,12,06
ATA-30,2015,10,12
ATA-31,2015,10,15
ATA-32,2017,01,31
ATA-32,2017,10,24
ATA-32,2018,01,01
ATA-32,2015,10,30
ATA-34,2016,05,01
ATA-34,2017,05,05
ATA-34,2018,02,25
ATA-34,2017,08,29
ATA-36,2017,05,05
ATA-36,2017,07,12
ATA-36,2018,02,23
ATA-36,2017,07,28
ATA-36,2017,06,21
ATA-36,2017,05,23
ATA-36,2017,06,28
ATA-36,2018,03,27
ATA-38,2015,10,08
ATA-49,2016,07,17
ATA-52,2015,11,09
ATA-52,2017,03,07
