ATA,yyyy,mm,dd
ATA-21,2015,07,27
ATA-21,2016,03,08
ATA-21,2017,07,03
ATA-21,2018,01,17
ATA-21,2018,02,12
ATA-21,2017,07,17
ATA-21,2015,05,24
ATA-21,2016,10,25
ATA-21,2015,09,14
ATA-23,2016,06,08
ATA-23,2016,05,25
ATA-23,2018,01,18
ATA-24,2016,03,04
ATA-24,2017,05,12
ATA-25,2016,10,22
ATA-26,2015,10,26
ATA-26,2018,03,14
ATA-27,2015,11,11
ATA-27,2017,12,05
ATA-27,2015,11,13
ATA-27,2015,09,19
ATA-28,2015,09,01
ATA-28,2017,09,24
ATA-28,2018,01,07
ATA-30,2017,10,04
ATA-30,2018,01,25
ATA-31,2016,05,23
ATA-31,2017,06,04
ATA-32,2015,12,24
ATA-32,2015,09,14
ATA-32,2015,06,13
ATA-32,2015,08,25
ATA-32,2016,09,24
ATA-33,2016,06,12
ATA-34,2015,09,06
ATA-34,2016,06,01
ATA-34,2017,01,21
ATA-34,2015,04,24
ATA-34,2015,06,03
ATA-34,2015,05,15
ATA-36,2016,01,29
ATA-36,2015,09,14
ATA-36,2016,02,28
ATA-36,2017,05,29
ATA-36,2017,12,28
ATA-36,2018,02,13
ATA-36,2017,09,04
ATA-36,2016,09,3
ATA-49,2018,02,03
ATA-52,2015,09,04
ATA-52,2016,05,14
ATA-52,2017,03,03
ATA-57,2015,06,04
ATA-73,2017,04,16
ATA-73,2017,01,28
ATA-73,2018,02,16
ATA-73,2015,05,18
ATA-74,2015,10,19
ATA-75,2016,07,17
ATA-75,2017,01,01
ATA-75,2016,10,10
ATA-76,2016,06,23
ATA-77,2015,06,16
ATA-77,2017,06,03
ATA-77,2016,01,24
ATA-77,2017,06,21
ATA-77,2017,07,08
ATA-77,2017,07,26
ATA-77,2015,11,17
ATA-79,2018,01,24
ATA-79,2015,07,26
ATA-79,2015,04,11
ATA-79,2015,09,16
