ATA,yyyy,mm,dd
ATA-21,2013,09,20
ATA-21,2013,02,25
ATA-21,2014,05,03
ATA-21,2016,03,13
ATA-21,2017,03,19
ATA-21,2016,07,02
ATA-21,2016,08,07
ATA-21,2015,06,26
ATA-21,2017,03,12
ATA-21,2017,07,30
ATA-21,2017,09,03
ATA-21,2017,08,08
ATA-21,2017,11,04
ATA-21,2017,10,18
ATA-21,2017,10,26
ATA-21,2017,10,12
ATA-21,2014,03,13
ATA-21,2016,04,27
ATA-21,2014,01,20
ATA-21,2015,01,23
ATA-21,2015,01,11
ATA-21,2015,05,19
ATA-21,2013,01,11
ATA-21,2014,04,21
ATA-21,2013,07,14
ATA-21,2013,10,25
ATA-21,2014,10,13
ATA-21,2015,10,17
ATA-21,2014,02,11
ATA-21,2015,09,14
ATA-21,2014,10,15
ATA-21,2013,08,16
ATA-21,2015,09,14
ATA-21,2014,06,18
ATA-27,2013,08,23
ATA-27,2015,09,13
ATA-27,2016,03,08
ATA-27,2017,04,25
ATA-27,2017,09,08
ATA-27,2017,11,07
ATA-27,2017,12,02
ATA-27,2017,09,25
ATA-27,2016,06,04
ATA-27,2013,09,04
ATA-27,2013,10,18
ATA-27,2015,09,10
ATA-27,2013,05,01
ATA-27,2015,02,27
ATA-27,2015,08,21
ATA-27,2015,06,02
ATA-27,2014,08,21
ATA-27,2013,11,23
ATA-27,2013,07,18
ATA-27,2013,10,05
ATA-27,2013,01,09
ATA-27,2013,12,15
ATA-27,2014,11,14
ATA-27,2014,02,07
ATA-27,2014,06,14
ATA-27,2013,12,20
ATA-30,2015,12,21
ATA-30,2017,04,21
ATA-30,2017,08,01
ATA-30,2017,04,15
ATA-30,2016,04,12
ATA-30,2017,11,22
ATA-30,2014,02,15
ATA-30,2015,08,26
ATA-30,2016,09,02
ATA-30,2015,08,26
ATA-30,2013,02,08
ATA-30,2015,07,14
ATA-30,2015,04,01
ATA-30,2015,03,04
ATA-30,2014,02,21
ATA-30,2013,12,22
ATA-30,2014,10,06
ATA-30,2014,12,06
ATA-30,2014,04,02
ATA-30,2013,10,23
ATA-30,2014,03,28
ATA-36,2015,10,25
ATA-36,2016,03,29
ATA-36,2017,04,27
ATA-36,2017,01,17
ATA-36,2017,10,02
ATA-36,2017,12,22
ATA-36,2017,07,19
ATA-36,2017,05,05
ATA-36,2015,09,25
ATA-36,2013,01,31
ATA-36,2013,07,09
ATA-36,2016,09,09
ATA-36,2016,03,19
ATA-36,2014,10,26
ATA-36,2013,02,07
ATA-36,2014,09,22
ATA-36,2014,07,04
ATA-36,2016,08,02
ATA-36,2016,10,14
ATA-32,2013,08,18
ATA-32,2013,09,09
ATA-32,2018,03,07
ATA-32,2018,01,14
ATA-32,2017,12,14
ATA-32,2016,10,27
ATA-32,2016,07,14
ATA-32,2016,01,16
ATA-32,2015,07,19
ATA-32,2014,12,07
ATA-32,2016,10,10
ATA-32,2014,09,14
ATA-32,2013,09,26
ATA-32,2014,04,18
ATA-32,2014,11,29
ATA-32,2013,08,04
ATA-32,2014,03,16
ATA-32,2014,03,11
